cold_users, reviews, model, with_uv, dropout, rmse
50, 1, gcn, false, 0.0, 1.004178
50, 1, gcn, false, 0.3, 1.011700
50, 1, gcn, false, 0.5, 0.971178
50, 1, gcn, false, 0.7, 0.969709
50, 1, gcn, false, 0.9, 0.975451
50, 1, gcn, true, 0.0, 0.990326
50, 1, gcn, true, 0.3, 0.986907
50, 1, gcn, true, 0.5, 0.985355
50, 1, gcn, true, 0.7, 0.975488
50, 1, gcn, true, 0.9, 0.981689
50, 1, gat, false, 0.0, 0.982694
50, 1, gat, false, 0.3, 0.999144
50, 1, gat, false, 0.5, 0.981554
50, 1, gat, false, 0.7, 0.998292
50, 1, gat, false, 0.9, 0.988864
50, 1, gat, true, 0.0, 0.977467
50, 1, gat, true, 0.3, 0.968285
50, 1, gat, true, 0.5, 0.983754
50, 1, gat, true, 0.7, 0.982465
50, 1, gat, true, 0.9, 0.998412

50, 5, gcn, false, 0.0, 0.952297
50, 5, gcn, false, 0.3, 0.948672
50, 5, gcn, false, 0.5, 0.953523
50, 5, gcn, false, 0.7, 0.955991
50, 5, gcn, false, 0.9, 0.962495
50, 5, gcn, true, 0.0, 0.960494
50, 5, gcn, true, 0.3, 0.945212
50, 5, gcn, true, 0.5, 0.954658
50, 5, gcn, true, 0.7, 0.959532
50, 5, gcn, true, 0.9, 0.964905
50, 5, gat, false, 0.0, 0.964563
50, 5, gat, false, 0.3, 0.966695
50, 5, gat, false, 0.5, 0.958888
50, 5, gat, false, 0.7, 0.961728
50, 5, gat, false, 0.9, 0.977239
50, 5, gat, true, 0.0, 0.978146
50, 5, gat, true, 0.3, 0.956030
50, 5, gat, true, 0.5, 0.953734
50, 5, gat, true, 0.7, 0.955298
50, 5, gat, true, 0.9, 0.953809

100, 1, gcn, false, 0.0, 1.023807
100, 1, gcn, false, 0.3, 1.014391
100, 1, gcn, false, 0.5, 0.995666
100, 1, gcn, false, 0.7, 1.005414
100, 1, gcn, false, 0.9, 0.993313
100, 1, gcn, true, 0.0, 1.035588
100, 1, gcn, true, 0.3, 0.997045
100, 1, gcn, true, 0.5, 0.976016
100, 1, gcn, true, 0.7, 0.986285
100, 1, gcn, true, 0.9, 1.007166
100, 1, gat, false, 0.0, 1.009950
100, 1, gat, false, 0.3, 1.015210
100, 1, gat, false, 0.5, 1.011420
100, 1, gat, false, 0.7, 1.009697
100, 1, gat, false, 0.9, 1.018678
100, 1, gat, true, 0.0, 1.012101
100, 1, gat, true, 0.3, 0.997403
100, 1, gat, true, 0.5, 1.002829
100, 1, gat, true, 0.7, 1.000350
100, 1, gat, true, 0.9, 1.008598

100, 5, gcn, false, 0.0, 0.981750
100, 5, gcn, false, 0.3, 0.959303
100, 5, gcn, false, 0.5, 0.958922
100, 5, gcn, false, 0.7, 0.963016
100, 5, gcn, false, 0.9, 0.967010
100, 5, gcn, true, 0.0, 0.984379
100, 5, gcn, true, 0.3, 0.968772
100, 5, gcn, true, 0.5, 0.974663
100, 5, gcn, true, 0.7, 0.958411
100, 5, gcn, true, 0.9, 0.963535
100, 5, gat, false, 0.0, 0.967274
100, 5, gat, false, 0.3, 0.968520
100, 5, gat, false, 0.5, 0.970502
100, 5, gat, false, 0.7, 0.987975
100, 5, gat, false, 0.9, 0.982017
100, 5, gat, true, 0.0, 0.960636
100, 5, gat, true, 0.3, 0.962549
100, 5, gat, true, 0.5, 0.958918
100, 5, gat, true, 0.7, 0.963067
100, 5, gat, true, 0.9, 0.973276

150, 1, gcn, false, 0.0, 1.023235
150, 1, gcn, false, 0.3, 1.010845
150, 1, gcn, false, 0.5, 0.994523
150, 1, gcn, false, 0.7, 0.995435
150, 1, gcn, false, 0.9, 1.002215
150, 1, gcn, true, 0.0, 1.039191
150, 1, gcn, true, 0.3, 1.011803
150, 1, gcn, true, 0.5, 0.990782
150, 1, gcn, true, 0.7, 0.990673
150, 1, gcn, true, 0.9, 0.989486
150, 1, gat, false, 0.0, 0.998358
150, 1, gat, false, 0.3, 1.001908
150, 1, gat, false, 0.5, 1.006498
150, 1, gat, false, 0.7, 1.002228
150, 1, gat, false, 0.9, 1.010803
150, 1, gat, true, 0.0, 1.014935
150, 1, gat, true, 0.3, 1.019869
150, 1, gat, true, 0.5, 0.994170
150, 1, gat, true, 0.7, 1.005025
150, 1, gat, true, 0.9, 1.017124

150, 5, gcn, false, 0.0, 1.003528
150, 5, gcn, false, 0.3, 1.015275 
150, 5, gcn, false, 0.5, 0.977907
150, 5, gcn, false, 0.7, 0.971177
150, 5, gcn, false, 0.9, 0.970568
150, 5, gcn, true, 0.0, 0.991645
150, 5, gcn, true, 0.3, 0.995527
150, 5, gcn, true, 0.5, 0.974838
150, 5, gcn, true, 0.7, 0.975989
150, 5, gcn, true, 0.9, 0.966555
150, 5, gat, false, 0.0, 0.981300
150, 5, gat, false, 0.3, 0.984190
150, 5, gat, false, 0.5, 0.981470
150, 5, gat, false, 0.7, 0.974667
150, 5, gat, false, 0.9, 0.976433
150, 5, gat, true, 0.0, 0.988490
150, 5, gat, true, 0.3, 0.986248
150, 5, gat, true, 0.5, 0.974741
150, 5, gat, true, 0.7, 0.994631
150, 5, gat, true, 0.9, 0.990699
